note_id,#diary_id,#author_id,#note_date,#people
"181259",#"859",#"849",#"1826-06-18",#
"181260",#"859",#"849",#"1826-06-19",#"стурдзоя->1,княгиня->1,голицын->1"
"181261",#"859",#"849",#"1826-06-21",#"лана->1"
"181262",#"859",#"849",#"1826-06-22",#"кутузова->1,эглофштейн->1"
"181263",#"859",#"849",#"1826-06-23",#"голицына->1,кутузов->1"
"181264",#"859",#"849",#"1826-06-24",#"вольф->1,ифигения->1"
"181265",#"859",#"849",#"1826-06-25",#
"181266",#"859",#"849",#"1826-06-26",#"стурдзоя->1"
"181267",#"859",#"849",#"1826-06-27",#"рейтер->1"
"181268",#"859",#"849",#"1826-06-28",#
"181269",#"859",#"849",#"1826-06-29",#
"181270",#"859",#"849",#"1826-07-01",#"кутузов->1"
"181271",#"859",#"849",#"1826-07-02",#"кутузова->1,клара->1"
"181272",#"859",#"849",#"1826-07-03",#"толстой->1"
"181273",#"859",#"849",#"1826-07-06",#"вильгельм->1"
"181274",#"859",#"849",#"1826-07-07",#"стурдзе->1"
"181275",#"859",#"849",#"1826-07-05",#"штейн->1"
"181276",#"859",#"849",#"1826-07-09",#"клара->1"
"181277",#"859",#"849",#"1826-07-10",#"штейн->1"
"181278",#"859",#"849",#"1826-07-14",#
"181279",#"859",#"849",#"1826-07-15",#
"181280",#"859",#"849",#"1826-07-18",#"штейн->1,арнштейн->1"
"181281",#"859",#"849",#"1826-07-19",#"кутузов->1,голицына->1"
"181282",#"859",#"849",#"1826-07-20",#
"181283",#"859",#"849",#"1826-07-21",#"кутузов->1,штейн->1,голицына->1"
"181284",#"859",#"849",#"1826-07-22",#"кутузов->1"
"181285",#"859",#"849",#"1826-07-23",#"голицына->1"
"181286",#"859",#"849",#"1826-07-24",#"эглофштейн->1"
"181287",#"859",#"849",#"1826-07-25",#"рейнек->1"
"181288",#"859",#"849",#"1826-07-26",#
"181289",#"859",#"849",#"1826-07-27",#
"181290",#"859",#"849",#"1826-07-28",#"шенберг->1,ваутсберг->1,эльсфельд->1"
"181291",#"859",#"849",#"1826-07-29",#"нессельрод->1,чичагов->1"
"181292",#"859",#"849",#"1826-07-30",#
"181293",#"859",#"849",#"1826-07-31",#"спесарт->1"
"181294",#"859",#"849",#"1826-08-01",#"аракчеев->1,бамберг->2"
"181295",#"859",#"849",#"1826-08-02",#"бамберг->1,пауль->1,барейт->1"
"181296",#"859",#"849",#"1826-08-03",#"барейт->1,валленштейн->1"
"181297",#"859",#"849",#"1826-08-04",#"тургенев->2"
"181298",#"859",#"849",#"1826-08-05",#"александр->1,сергей->1"
"181299",#"859",#"849",#"1826-08-06",#
"181300",#"859",#"849",#"1826-08-07",#
"181301",#"859",#"849",#"1826-08-08",#
"181302",#"859",#"849",#"1826-08-09",#
"181303",#"859",#"849",#"1826-08-10",#"тургенев->1"
"181304",#"859",#"849",#"1826-08-11",#
"181305",#"859",#"849",#"1826-08-12",#"герена->1"
"181306",#"859",#"849",#"1826-08-14",#"тургенев->1,сергей->1"
"181307",#"859",#"849",#"1826-08-16",#"тургенев->1"
"181308",#"859",#"849",#"1826-08-17",#
"181309",#"859",#"849",#"1826-08-19",#
"181310",#"859",#"849",#"1826-08-21",#"зельберг->1"
"181311",#"859",#"849",#"1826-08-24",#
"181312",#"859",#"849",#"1826-08-26",#
"181313",#"859",#"849",#"1826-08-27",#
"181314",#"859",#"849",#"1826-08-28",#
"181315",#"859",#"849",#"1826-08-29",#
"181316",#"859",#"849",#"1826-08-30",#"пушкин->1"
"181317",#"859",#"849",#"1826-08-31",#"пушкин->1"
"181318",#"859",#"849",#"1826-09-01",#"пушкин->1"
"181319",#"859",#"849",#"1826-09-02",#
"181320",#"859",#"849",#"1826-09-03",#
"181321",#"859",#"849",#"1826-11-17",#
"181322",#"859",#"849",#"1826-11-19",#"пушкин->1"
"181323",#"859",#"849",#"1826-11-20",#
"181324",#"859",#"849",#"1826-11-21",#"пушкин->1"
"181325",#"859",#"849",#"1826-11-22",#"викулин->1,офросимов->1"
"181326",#"859",#"849",#"1827-03-01",#
"181327",#"859",#"849",#"1827-04-14",#
"181328",#"859",#"849",#"1827-04-15",#"беккер->1"
"181329",#"859",#"849",#"1827-04-16",#
"181330",#"859",#"849",#"1827-04-17",#
"181331",#"859",#"849",#"1827-04-18",#
"181332",#"859",#"849",#"1827-04-19",#
"181333",#"859",#"849",#"1827-04-20",#"лукас->1,рейхенбах->1"
"181334",#"859",#"849",#"1827-04-21",#"шувалов->1"
"181335",#"859",#"849",#"1827-04-22",#
"181336",#"859",#"849",#"1827-04-23",#"тургенев->1"
"181337",#"859",#"849",#"1827-04-24",#
"181338",#"859",#"849",#"1827-04-25",#
"181339",#"859",#"849",#"1827-04-26",#
"181340",#"859",#"849",#"1827-04-27",#"шувалов->1,голицын->1"
"181341",#"859",#"849",#"1827-04-28",#
"181342",#"859",#"849",#"1827-04-29",#"бернек->1,байрейт->1"
"181343",#"859",#"849",#"1827-04-30",#"гольфельд->1,бамберг->1,рубенс->1"
"181344",#"859",#"849",#"1827-05-01",#"бухен->1"
"181345",#"859",#"849",#"1827-05-02",#
"181346",#"859",#"849",#"1827-05-03",#"гартман->1,маркграфиня->1,леопольд->1"
"181347",#"859",#"849",#"1827-05-04",#"стефаний->1"
"181348",#"859",#"849",#"1827-05-05",#"эберштейн->1,форбах->1,керстенбах->1"
"181349",#"859",#"849",#"1827-05-06",#"оффенбург->1"
"181350",#"859",#"849",#"1827-05-07",#"вогеза->4,васселона->1,гомарлёня->1,бламон->1"
"181351",#"859",#"849",#"1827-05-08",#"фронвиль->1,лонжвиль->1"
